Date,Close
6/11/2021,236.93
6/14/2021,236.98
6/15/2021,236.35
6/16/2021,235.58
6/17/2021,233.88
6/18/2021,229.62
6/21/2021,232.9
6/22/2021,233.88
6/23/2021,233.24
6/24/2021,233.33
6/25/2021,232.42
6/28/2021,231.09
6/29/2021,230.37
6/30/2021,230.99
7/1/2021,232.27
7/2/2021,233.63
7/6/2021,232.75
7/7/2021,234.63
7/8/2021,232.84
7/9/2021,235.68
7/12/2021,235.61
7/13/2021,236.17
7/14/2021,237.13
7/15/2021,236.88
7/16/2021,234.75
7/19/2021,229.26
7/20/2021,234.27
7/21/2021,235.93
7/22/2021,238.67
7/23/2021,242.96
7/26/2021,243.98
7/27/2021,246.35
7/28/2021,241.78
7/29/2021,244.02
7/30/2021,242.71
8/2/2021,240.1
8/3/2021,236.95
8/4/2021,234.83
8/5/2021,236.42
8/6/2021,236.26
8/9/2021,234.68
8/10/2021,233.45
8/11/2021,235.55
8/12/2021,236.67
8/13/2021,238.82
8/16/2021,240.97
8/17/2021,240.28
8/18/2021,238.08
8/19/2021,237.23
8/20/2021,238.49
8/23/2021,239.66
8/24/2021,238.43
8/25/2021,238.83
8/26/2021,236.95
8/27/2021,237.48
8/30/2021,236.59
8/31/2021,237.46
9/1/2021,238.15
9/2/2021,239.87
9/3/2021,238.82
9/7/2021,236.19
9/8/2021,238.62
9/9/2021,238.61
9/10/2021,239.18
9/13/2021,241.21
9/14/2021,241.13
9/15/2021,240.98
9/16/2021,243.21
9/17/2021,242.49
9/20/2021,239.09
9/21/2021,240.5
9/22/2021,243.13
9/23/2021,244.78
9/24/2021,246.42
9/27/2021,248.11
9/28/2021,243.77
9/29/2021,244.28
9/30/2021,241.11
10/1/2021,242.93
10/4/2021,243.08
10/5/2021,245.22
10/6/2021,247.1
10/7/2021,248.32
10/8/2021,247.7
10/11/2021,246.58
10/12/2021,244.52
10/13/2021,242.65
10/14/2021,244.55
10/15/2021,242.25
10/18/2021,242.26
10/19/2021,242.77
10/20/2021,239.72
10/21/2021,241.4
10/22/2021,238.44
10/25/2021,237.34
10/26/2021,236.42
10/27/2021,242.73
10/28/2021,245.5
10/29/2021,245.55
11/1/2021,250.58
11/2/2021,249.24
11/3/2021,250.4
11/4/2021,253.46
11/5/2021,254.71
11/8/2021,253.1
11/9/2021,252.65
11/10/2021,253.13
11/11/2021,250.16
11/12/2021,250.67
11/15/2021,252.94
11/16/2021,252.46
11/17/2021,252.69
11/18/2021,253.48
11/19/2021,251.95
11/22/2021,253.48
11/23/2021,255.65
11/24/2021,257.11
11/26/2021,250.01
11/29/2021,250.3
11/30/2021,244.6
12/1/2021,244.18
12/2/2021,248.8
12/3/2021,249.33
12/6/2021,255.79
12/7/2021,259.91
12/8/2021,259.58
12/9/2021,262.34
12/10/2021,264.97
12/13/2021,263.09
12/14/2021,262.52
12/15/2021,264.52
12/16/2021,265.55
12/17/2021,261.7
12/20/2021,261.73
12/21/2021,264.39
12/22/2021,264.94
12/23/2021,265.95
12/27/2021,268.24
12/28/2021,267.88
12/29/2021,268.49
12/30/2021,267.21
12/31/2021,268.07
1/3/2022,268.58
1/4/2022,268.51
1/5/2022,267.19
1/6/2022,269.69
1/7/2022,267.06
1/10/2022,264.41
1/11/2022,262.12
1/12/2022,260.92
1/13/2022,261.41
1/14/2022,257.71
1/18/2022,256.48
1/19/2022,255.22
1/20/2022,253.13
1/21/2022,254.59
1/24/2022,253.61
1/25/2022,250.68
1/26/2022,249.85
1/27/2022,248.74
1/28/2022,256.09
1/31/2022,259.45
2/1/2022,258.99
2/2/2022,262.28
2/3/2022,260.64
2/4/2022,260.06
2/7/2022,259.85
2/8/2022,260.08
2/9/2022,259.86
2/10/2022,256.87
2/11/2022,255.16
2/14/2022,253.39
2/15/2022,253.81
2/16/2022,253.09
2/17/2022,250.93
2/18/2022,250.6
2/22/2022,252.7
2/23/2022,247.79
2/24/2022,245.03
2/25/2022,249.45
2/28/2022,244.77
3/1/2022,239.63
3/2/2022,240.94
3/3/2022,236.65
3/4/2022,235.81
3/7/2022,224.33
3/8/2022,222.79
3/9/2022,222.47
3/10/2022,222
3/11/2022,226.87
3/14/2022,226.18
3/15/2022,232.57
3/16/2022,238.14
3/17/2022,237.47
3/18/2022,238.92
3/21/2022,235.32
3/22/2022,238.12
3/23/2022,236.12
3/24/2022,240.26
3/25/2022,241.58
3/28/2022,242.94
3/29/2022,248.17
3/30/2022,249.03
3/31/2022,247.28
4/1/2022,249.25
4/4/2022,246.83
4/5/2022,248.51
4/6/2022,251.46
4/7/2022,254.36
4/8/2022,251.46
4/11/2022,250.45
4/12/2022,249.17
4/13/2022,251.33
4/14/2022,250.51
4/18/2022,251.06
4/19/2022,255.4
4/20/2022,255.85
4/21/2022,255.25
4/22/2022,250.17
4/25/2022,252.88
4/26/2022,248.58
4/27/2022,247.14
4/28/2022,254.19
4/29/2022,249.16
5/2/2022,246.64
5/3/2022,245.87
5/4/2022,254.32
5/5/2022,248.92
5/6/2022,250.78
5/9/2022,247.49
5/10/2022,245.68
5/11/2022,244.43
5/12/2022,244.19
5/13/2022,245.04
5/16/2022,244.04
5/17/2022,241.63
5/18/2022,231.05
5/19/2022,229
5/20/2022,233.91
5/23/2022,238
5/24/2022,244.52
5/25/2022,244.01
5/26/2022,248.09
5/27/2022,251.87
5/31/2022,252.21
6/1/2022,249.28
6/2/2022,250.38
6/3/2022,248.36
6/6/2022,248.07
6/7/2022,248.94
6/8/2022,245.61
6/9/2022,242.16
6/10/2022,237.38
6/13/2022,238.47
6/14/2022,238.76
6/15/2022,238.9
6/16/2022,235.19
6/17/2022,234.38
6/21/2022,239.59
6/22/2022,243.06
6/23/2022,243.58
6/24/2022,247.9
6/27/2022,247.03
6/28/2022,242.83
6/29/2022,247.74
6/30/2022,246.88
7/1/2022,252.96
7/5/2022,252.29
7/6/2022,251.46
7/7/2022,252.94
7/8/2022,253.24
7/11/2022,253.28
7/12/2022,251.48
7/13/2022,252.67
7/14/2022,252.6
7/15/2022,255.01
7/18/2022,252.42
7/19/2022,256.5
7/20/2022,254.58
7/21/2022,253.47
7/22/2022,253.99
7/25/2022,250.38
7/26/2022,257.09
7/27/2022,258.89
7/28/2022,263.46
7/29/2022,263.37
8/1/2022,264.23
8/2/2022,261.05
8/3/2022,262.09
8/4/2022,260.64
8/5/2022,259.23
8/8/2022,256.8
8/9/2022,260.06
8/10/2022,261.36
8/11/2022,259.28
8/12/2022,262.18
8/15/2022,265.44
8/16/2022,266.29
8/17/2022,266.82
8/18/2022,266.58
8/19/2022,266.54
8/22/2022,262.95
8/23/2022,260.54
8/24/2022,260.86
8/25/2022,262.56
8/26/2022,256.95
8/29/2022,255.66
8/30/2022,253.49
8/31/2022,252.28
9/1/2022,256.47
9/2/2022,254.51
9/6/2022,254.39
9/7/2022,258.42
9/8/2022,260.08
9/9/2022,259.52
9/12/2022,260.37
9/13/2022,254.33
9/14/2022,255.72
9/15/2022,253.47
9/16/2022,254.91
9/19/2022,257.01
9/20/2022,255.4
9/21/2022,251.08
9/22/2022,247.94
9/23/2022,245.95
9/26/2022,243.76
9/27/2022,236.7
9/28/2022,236.94
9/29/2022,234.4
9/30/2022,230.74
10/3/2022,235.34
10/4/2022,238.5
10/5/2022,239.09
10/6/2022,234.75
10/7/2022,233.19
10/10/2022,234.95
10/11/2022,237.05
10/12/2022,237.06
10/13/2022,246.75
10/14/2022,243.16
10/17/2022,246.48
10/18/2022,249.19
10/19/2022,250.75
10/20/2022,249.77
10/21/2022,254.55
10/24/2022,255.32
10/25/2022,255.73
10/26/2022,256.61
10/27/2022,265.11
10/28/2022,274.52
10/31/2022,272.66
11/1/2022,272.95
11/2/2022,270.37
11/3/2022,272.95
11/4/2022,274.62
11/7/2022,276.41
11/8/2022,278.4
11/9/2022,277.79
11/10/2022,275.88
11/11/2022,271.39
11/14/2022,272.27
11/15/2022,267.84
11/16/2022,272.51
11/17/2022,273.36
11/18/2022,273.37
11/21/2022,274.52
11/22/2022,274.76
11/23/2022,273.27
11/25/2022,275
11/28/2022,272.88
11/29/2022,271.41
11/30/2022,272.79
12/1/2022,273.4
12/2/2022,273.4
12/5/2022,271.59
12/6/2022,271.77
12/7/2022,270.34
12/8/2022,273.39
12/9/2022,272.04
12/12/2022,276.62
12/13/2022,274.28
12/14/2022,274.53
12/15/2022,271.73
12/16/2022,266.12
12/19/2022,265.83
12/20/2022,267.25
12/21/2022,268.16
12/22/2022,265.77
12/23/2022,267.57
12/27/2022,266.84
12/28/2022,265.11
12/29/2022,265.93
12/30/2022,263.53
1/3/2023,264.33
1/4/2023,264.39
1/5/2023,262.16
1/6/2023,269.47
1/9/2023,267.25
1/10/2023,268.91
1/11/2023,268.81
1/12/2023,266.69
1/13/2023,268.89
1/17/2023,274.11
1/18/2023,266.04
1/19/2023,263.58
1/20/2023,268.58
1/23/2023,269.29
1/24/2023,269.56
1/25/2023,273
1/26/2023,274.72
1/27/2023,272.46
1/30/2023,270.89
1/31/2023,267.4
2/1/2023,266.27
2/2/2023,263.21
2/3/2023,264.23
2/6/2023,267.92
2/7/2023,267.34
2/8/2023,262.82
2/9/2023,260.66
2/10/2023,262.42
2/13/2023,266.2
2/14/2023,266.61
2/15/2023,266.56
2/16/2023,265.83
2/17/2023,269.99
2/21/2023,268.55
2/22/2023,268.64
2/23/2023,266.78
2/24/2023,263.68
2/27/2023,264.78
2/28/2023,263.91
3/1/2023,262.72
3/2/2023,267.57
3/3/2023,269.07
3/6/2023,270.64
3/7/2023,267.13
3/8/2023,265.33
3/9/2023,261.63
3/10/2023,262.03
3/13/2023,263.08
3/14/2023,265.9
3/15/2023,266.34
3/16/2023,270.57
3/17/2023,267.2
3/20/2023,270.74
3/21/2023,270.21
3/22/2023,267.87
3/23/2023,269.62
3/24/2023,271.33
3/27/2023,273.84
3/28/2023,275.85
3/29/2023,277.44
3/30/2023,277.79
3/31/2023,279.61
4/3/2023,282.14
4/4/2023,282.28
4/5/2023,282.02
4/6/2023,282.89
4/10/2023,283.78
4/11/2023,284.48
4/12/2023,285.3
4/13/2023,289.07
4/14/2023,288.98
4/17/2023,289.31
4/18/2023,290.91
4/19/2023,291.27
4/20/2023,291
4/21/2023,292.06
4/24/2023,293.2
4/25/2023,291.51
4/26/2023,289.76
4/27/2023,294.72
4/28/2023,295.75
5/1/2023,297.58
5/2/2023,298.07
5/3/2023,295.22
5/4/2023,295.16
5/5/2023,296.6
5/8/2023,296.69
5/9/2023,296.66
5/10/2023,296.57
5/11/2023,294.79
5/12/2023,296.14
5/15/2023,295.9
5/16/2023,294.15
5/17/2023,293.46
5/18/2023,294.05
5/19/2023,295.55
5/22/2023,289.35
5/23/2023,286.37
5/24/2023,285.92
5/25/2023,285.52
5/26/2023,286.04
5/30/2023,284.92
5/31/2023,285.11
6/1/2023,287.87
6/2/2023,289.91
6/5/2023,288.43
6/6/2023,284.54
6/7/2023,281.9
6/8/2023,285.78
6/9/2023,286.79
6/12/2023,288.57
6/13/2023,288.55
6/14/2023,288.44
6/15/2023,292.61
6/16/2023,293.7
6/20/2023,293.04
6/21/2023,294.52
6/22/2023,293.3
6/23/2023,289.91
6/26/2023,289.09
6/27/2023,291.3
6/28/2023,291.74
6/29/2023,294.47
6/30/2023,298.41
7/3/2023,294.84
7/5/2023,296.9
7/6/2023,294.92
7/7/2023,292.1
7/10/2023,294.49
7/11/2023,294.74
7/12/2023,295.61
7/13/2023,295.22
7/14/2023,294.94
7/17/2023,294.68
7/18/2023,293.82
7/19/2023,294.13
7/20/2023,297.13
7/21/2023,295.61
7/24/2023,295.31
7/25/2023,292.36
7/26/2023,291.75
7/27/2023,295.19
7/28/2023,294.03
7/31/2023,293.2
8/1/2023,291.07
8/2/2023,289.62
8/3/2023,291.02
8/4/2023,287.02
8/7/2023,291.4
8/8/2023,289.58
8/9/2023,288.23
8/10/2023,287.6
8/11/2023,288.62
8/14/2023,288.81
8/15/2023,288.3
8/16/2023,285.4
8/17/2023,281.86
8/18/2023,281.74
8/21/2023,280.04
8/22/2023,280.31
8/23/2023,281.87
8/24/2023,282.35
8/25/2023,284.58
8/28/2023,283.68
8/29/2023,283.59
8/30/2023,284.24
8/31/2023,281.15
9/1/2023,280.94
9/5/2023,279.16
9/6/2023,275.44
9/7/2023,278.33
9/8/2023,279.22
9/11/2023,279.76
9/12/2023,280.71
9/13/2023,281.77
9/14/2023,284.76
9/15/2023,278.23
9/18/2023,277.72
9/19/2023,278.13
9/20/2023,277.2
9/21/2023,271.22
9/22/2023,272.22
9/25/2023,269.78
9/26/2023,267.72
9/27/2023,263.64
9/28/2023,265.59
9/29/2023,263.44
10/2/2023,257.75
10/3/2023,254.49
10/4/2023,255.81
10/5/2023,252.23
10/6/2023,248.22
10/9/2023,249.92
10/10/2023,251.52
10/11/2023,250.92
10/12/2023,246.19
10/13/2023,248.31
10/16/2023,249.94
10/17/2023,251.14
10/18/2023,256.03
10/19/2023,258.38
10/20/2023,258.11
10/23/2023,254.75
10/24/2023,257.27
10/25/2023,258.03
10/26/2023,255.83
10/27/2023,255.76
10/30/2023,260.15
10/31/2023,262.17
11/1/2023,261.97
11/2/2023,266.85
11/3/2023,267.87
11/6/2023,268.91
11/7/2023,268.67
11/8/2023,267.49
11/9/2023,266.91
11/10/2023,267.79
11/13/2023,269.2
11/14/2023,271.49
11/15/2023,270.39
11/16/2023,276.12
11/17/2023,275.75
11/20/2023,279.03
11/21/2023,280.47
11/22/2023,281.93
11/24/2023,282.54
11/27/2023,281.84
11/28/2023,282.09
11/29/2023,280.38
11/30/2023,281.84
12/1/2023,285.96
12/4/2023,286.13
12/5/2023,286.54
12/6/2023,286.86
12/7/2023,286.79
12/8/2023,285.53
12/11/2023,289.15
12/12/2023,291.42
12/13/2023,295.93
12/14/2023,290.02
12/15/2023,287.27
12/18/2023,290.23
12/19/2023,290.73
12/20/2023,288.99
12/21/2023,291.39
12/22/2023,291.7
12/26/2023,292.86
12/27/2023,294.55
12/28/2023,295.84
12/29/2023,296.51
1/2/2024,297.04
1/3/2024,294.39
1/4/2024,291.74
1/5/2024,288.99
1/8/2024,291.9
1/9/2024,290.87
1/10/2024,294.09
1/11/2024,294.15
1/12/2024,293.47
1/16/2024,291.09
1/17/2024,291.16
1/18/2024,294.36
1/19/2024,300.53
1/22/2024,298.41
1/23/2024,300.05
1/24/2024,300.44
1/25/2024,297.21
1/26/2024,292.26
1/29/2024,292.31
1/30/2024,294.65
1/31/2024,292.72
2/1/2024,298.08
2/2/2024,297.05
2/5/2024,285.97
2/6/2024,284.65
2/7/2024,287.33
2/8/2024,291.93
2/9/2024,289.47
2/12/2024,289.44
2/13/2024,287.11
2/14/2024,288.17
2/15/2024,291.86
2/16/2024,292.02
2/20/2024,292.65
2/21/2024,293.91
2/22/2024,295.92
2/23/2024,297.75
2/26/2024,297.12
2/27/2024,293.76
2/28/2024,295.19
2/29/2024,292.28
3/1/2024,290.73
3/4/2024,290.94
3/5/2024,292.54
3/6/2024,292.93
3/7/2024,291.11
3/8/2024,292.55
3/11/2024,294.82
3/12/2024,294.31
3/13/2024,282.86
3/14/2024,281.73
3/15/2024,279.14
3/18/2024,278.58
3/19/2024,282.87
3/20/2024,284.45
3/21/2024,283.53
3/22/2024,282.63
3/25/2024,278.62
3/26/2024,278.62
3/27/2024,282.02
3/28/2024,281.95
4/1/2024,280.22
4/2/2024,277.74
4/3/2024,275.54
